ix,iy,grid_x,grid_y,dx_sub,dy_sub,peak,second_peak,map_x,map_y,dx_m,dy_m,dx_ref_px,dy_ref_px
6,26,609,2345,-2.750564944060554,-14.47660976051948,0.5043857097625732,0.4118574857711792,-2838805.52,-1550011.73,-12.982666535965814,-68.32959806965194,-6.491333267982907,-34.16479903482597
9,26,775,2345,-14.40239479652998,-11.100157216865142,0.7338777184486389,0.5446059703826904,-2838022.0,-1550011.73,-67.9793034396215,-52.39274206360347,-33.98965171981075,-26.196371031801736
12,26,941,2345,0.586215173241462,0.4800922180213872,0.7566390037536621,0.6085421442985535,-2837238.48,-1550011.73,2.7669356176997004,2.2660352690609473,1.3834678088498502,1.1330176345304737
13,26,996,2345,-27.003667931322745,15.469996758811055,0.7884223461151123,0.6935389637947083,-2836978.88,-1550011.73,-127.45731263584335,73.01838470158818,-63.728656317921676,36.50919235079409
3,27,438,2424,3.0707392485364586,-18.615386872045846,0.41232433915138245,0.35174334049224854,-2839612.64,-1550384.61,14.493889253092084,-87.86462603605639,7.246944626546042,-43.932313018028196
6,27,604,2424,-23.22402236275165,-13.408568514777697,0.4354495406150818,0.3762471079826355,-2838829.12,-1550384.61,-109.61738555218778,-63.288443389750725,-54.80869277609389,-31.644221694875363
8,27,715,2424,-5.828880812951613,-15.768316254621253,0.5863261222839355,0.32162830233573914,-2838305.2,-1550384.61,-27.512317437131614,-74.42645272181231,-13.756158718565807,-37.213226360906155
13,27,991,2424,29.699860115722448,-11.069121458209747,0.8880419731140137,0.692538857460022,-2837002.48,-1550384.61,140.18333974620995,-52.246253282750004,70.09166987310498,-26.123126641375002
1,28,323,2504,-16.79737577085063,-15.68175896726965,0.43097662925720215,0.34625163674354553,-2840155.44,-1550762.21,-79.28361363841496,-74.01790232551274,-39.64180681920748,-37.00895116275637
3,28,433,2504,6.99771366452125,-0.3564533582115805,0.7043818235397339,0.5784758925437927,-2839636.24,-1550762.21,33.0292084965403,-1.6824598507586597,16.51460424827015,-0.8412299253793298
4,28,489,2504,21.851678853039054,9.581047298552376,0.7185568809509277,0.5645828247070312,-2839371.92,-1550762.21,103.13992418634433,45.22254324916721,51.569962093172165,22.611271624583605
7,28,654,2504,11.49392804433182,22.572329272017296,0.556866466999054,0.4391375482082367,-2838593.12,-1550762.21,54.251340369246186,106.54139416392162,27.125670184623093,53.27069708196081
8,28,710,2504,10.623093075391454,14.825138272445312,0.5064336061477661,0.3002059757709503,-2838328.8,-1550762.21,50.14099931584766,69.97465264594187,25.07049965792383,34.98732632297094
10,28,820,2504,6.8077958269061085,-6.7369254628597055,0.5048846006393433,0.36971309781074524,-2837809.6,-1550762.21,32.13279630299683,-31.798288184697807,16.066398151498415,-15.899144092348903
11,28,875,2504,13.641683430686042,-13.79863755455335,0.6222528219223022,0.5519478917121887,-2837550.0,-1550762.21,64.38874579283811,-65.12956925749181,32.194372896419054,-32.564784628745905
12,28,931,2504,-20.06847654132781,-24.80484387347291,0.7909736037254333,0.43333593010902405,-2837285.68,-1550762.21,-94.72320927506726,-117.07886308279214,-47.36160463753363,-58.53943154139607
3,29,429,2583,31.222541572440097,3.9334591247419888,0.7636356949806213,0.5818396806716919,-2839655.12,-1551135.09,147.37039622191725,18.565927068782187,73.68519811095862,9.282963534391094
6,29,595,2583,-5.585394401902142,-14.856508556406437,0.7060548067092896,0.5535373687744141,-2838871.6,-1551135.09,-26.363061576978108,-70.12272038623838,-13.181530788489054,-35.06136019311919
12,29,927,2583,6.736620353672315,-4.177434836909629,0.7090012431144714,0.5974907875061035,-2837304.56,-1551135.09,31.796848069333326,-19.717492430213447,15.898424034666663,-9.858746215106724
2,30,371,2662,-3.1001173478451944,2.9375773726398453,0.42417827248573303,0.31231001019477844,-2839928.88,-1551507.97,-14.632553881829317,13.865365198860069,-7.316276940914658,6.932682599430034
5,30,537,2662,10.75027958207128,24.724207604477346,0.4518117606639862,0.35328418016433716,-2839145.36,-1551507.97,50.74131962737644,116.69825989313307,25.37065981368822,58.349129946566535
9,30,758,2662,6.0986370510337045,-24.94784269950235,0.7694936990737915,0.6152313351631165,-2838102.24,-1551507.97,28.785566880879085,-117.75381754165109,14.392783440439542,-58.876908770825544
11,30,868,2662,0.4766108319165093,-0.37920439169215103,0.6411041021347046,0.5240910649299622,-2837583.04,-1551507.97,2.249603126645924,-1.7898447287869528,1.124801563322962,-0.8949223643934764
13,30,979,2662,2.510580214132571,-23.1345941373494,0.47669512033462524,0.33079060912132263,-2837059.12,-1551507.97,11.849938610705733,-109.19528432828916,5.9249693053528665,-54.59764216414458
3,31,424,2741,12.273645558308981,-6.892989050207791,0.5170590281486511,0.3983680009841919,-2839678.72,-1551880.85,57.93160703521839,-32.53490831698077,28.965803517609196,-16.267454158490384
