# Stage P tie points: ch2_ohr_ncp_20211023T0027462822_d_img_d18 (source) to NAC_DTM_VIKRAMSITE1_M1442997156_100CM.TIF (reference), Chandrayaan-3 landing site.
# src_line/src_sample: 0-based position in the full-resolution source .img.
# ref_x/ref_y: reference CRS (polar stereographic, lat_ts -69.3, lon_0 32.3, R 1737400 m); ref_col/ref_row: 0-based pixel centre in the reference GeoTIFF.
# isro_geo_dx/dy_m: reference position minus the position the ISRO geometry CSV assigns to the same source pixel.
# Residuals in fine source-frame px (1 px = 1.134 m on the ground). heldout_residual_px: stripes scheme, model never saw the node.
# Reference error: lola_rms 1.85 m. Residuals are relative to the reference, not ground-truth errors.
id,src_line,src_sample,ref_x,ref_y,lon,lat,ref_col,ref_row,isro_geo_dx_m,isro_geo_dy_m,ncc_peak,ncc_second,fit_residual_px,is_inlier,heldout_fold,heldout_residual_px
120,27273.50,5121.50,835.526,606045.568,32.37899089,-69.56660870,11880.026,32213.932,477.06,-3682.50,0.7988,0.6468,0.9285,1,0,0.8805
121,27273.50,5505.50,732.901,606053.119,32.36928786,-69.56636385,11777.401,32206.381,482.85,-3683.59,0.7194,0.5015,0.9783,1,0,0.7779
122,27273.50,5889.50,630.682,606059.454,32.35962348,-69.56615855,11675.182,32200.046,489.11,-3685.90,0.6923,0.4316,0.7255,1,0,0.6889
123,27273.50,6273.50,527.203,606066.751,32.34984026,-69.56592098,11571.703,32192.749,494.18,-3687.25,0.7375,0.5222,0.5882,1,0,0.5156
124,27273.50,6657.50,422.291,606073.984,32.33992170,-69.56568494,11466.791,32185.516,497.88,-3688.67,0.5664,0.3559,0.5279,1,0,0.6839
125,27273.50,7041.50,317.208,606081.915,32.32998715,-69.56542529,11361.708,32177.585,501.48,-3689.40,0.8028,0.2704,0.1913,1,0,0.2614
126,27273.50,7425.50,209.669,606090.142,32.31982069,-69.56515532,11254.169,32169.358,502.68,-3689.84,0.8058,0.2609,0.3012,1,0,0.5223
127,27273.50,7809.50,101.907,606098.288,32.30963345,-69.56488736,11146.407,32161.212,503.73,-3690.36,0.8375,0.4498,0.1802,1,0,0.7125
128,27273.50,8193.50,-6.608,606107.490,32.29937537,-69.56458393,11037.892,32152.010,504.10,-3689.83,0.8393,0.5583,0.5530,1,0,0.4161
129,27273.50,8577.50,-117.375,606116.570,32.28890459,-69.56428385,10927.125,32142.930,502.27,-3689.43,0.8240,0.3357,0.1522,1,0,0.5365
130,27273.50,8961.50,-228.399,606125.966,32.27840996,-69.56397271,10816.101,32133.534,500.26,-3688.71,0.8078,0.3849,0.1059,1,0,0.6792
131,27273.50,9345.50,-338.790,606135.129,32.26797538,-69.56366856,10705.710,32124.371,498.94,-3688.24,0.8541,0.5960,0.3633,1,0,0.6139
132,27273.50,9729.50,-450.246,606144.632,32.25744052,-69.56335251,10594.254,32114.868,496.63,-3687.42,0.8461,0.4575,0.3021,1,0,0.6258
133,27273.50,10113.50,-560.933,606153.530,32.24697866,-69.56305579,10483.567,32105.970,495.16,-3687.22,0.8352,0.6124,0.4834,1,0,0.8836
134,27273.50,10497.50,-671.642,606162.917,32.23651502,-69.56274227,10372.858,32096.583,493.72,-3686.54,0.7736,0.5759,0.7918,1,0,0.7337
135,27273.50,10881.50,-786.273,606173.251,32.22568111,-69.56239664,10258.227,32086.249,488.44,-3684.91,0.7634,0.5911,0.4739,1,0,0.8257
136,27273.50,11265.50,-902.244,606184.026,32.21472107,-69.56203567,10142.256,32075.474,481.88,-3682.84,0.8039,0.5332,0.1445,1,0,1.2302
137,27273.50,11649.50,-1017.496,606195.227,32.20382939,-69.56165995,10027.004,32064.273,476.10,-3680.35,0.7825,0.5290,0.5595,1,0,1.3731
138,27657.50,2817.50,1491.637,606095.244,32.44100813,-69.56492754,12536.137,32164.256,478.15,-3684.48,0.7519,0.4441,0.8432,1,1,0.4512
139,27657.50,3201.50,1379.058,606105.841,32.43036348,-69.56458659,12423.558,32153.659,473.59,-3682.50,0.8722,0.5974,0.5084,1,1,0.1875
140,27657.50,3585.50,1268.920,606116.009,32.41995005,-69.56425891,12313.420,32143.491,471.54,-3680.95,0.7912,0.5465,0.4046,1,1,0.4842
141,27657.50,3969.50,1159.440,606124.659,32.40959943,-69.56398064,12203.940,32134.841,470.22,-3680.92,0.8322,0.5064,0.3209,1,1,0.4241
142,27657.50,4353.50,1050.097,606134.525,32.39926191,-69.56366160,12094.597,32124.975,469.09,-3679.68,0.8520,0.4435,0.4348,1,1,0.5303
143,27657.50,4737.50,943.312,606142.972,32.38916667,-69.56338861,11987.812,32116.528,470.59,-3679.87,0.7181,0.4329,1.2930,1,1,1.3109
144,27657.50,5121.50,840.131,606149.982,32.37941255,-69.56316225,11884.631,32109.518,475.76,-3681.49,0.7788,0.5041,0.8554,1,1,0.8349
145,27657.50,5505.50,737.005,606156.876,32.36966394,-69.56293913,11781.505,32102.624,481.05,-3683.24,0.7919,0.6532,1.0092,1,1,0.9268
146,27657.50,5889.50,633.924,606163.467,32.35991976,-69.56272544,11678.424,32096.033,486.45,-3685.29,0.6858,0.4185,1.3280,1,1,1.2217
147,27657.50,6273.50,530.889,606170.254,32.35018010,-69.56250472,11575.389,32089.246,491.96,-3687.16,0.7569,0.5418,1.2808,1,1,1.1695
148,27657.50,6657.50,426.860,606177.702,32.34034670,-69.56226159,11471.360,32081.798,496.55,-3688.36,0.6352,0.3742,0.8425,1,1,0.7444
