# Stage O tie points: Chandrayaan-2 TMC-2 (source) to LROC NAC DTM orthophoto (reference), Pitiscus.
# tmc_scan/tmc_pixel: 0-based line/sample in ch2_tmc_ncn_20230130T1900132182_d_img_d32.img (via ISRO geometry CSV).
# nac_col/nac_row: 0-based pixel-centre index in NAC_DTM_PITISCUS_M1149280834_2M.TIF.
# map_x/map_y: metres, equirectangular Moon sphere R=1737400, std parallel -51, CM 180 (NAC CRS). lon/lat in degrees.
# Residuals in common-grid px (1 px = 4.72 m). heldout_residual_px: spatial-block 5-fold, model never saw the node.
# Reference error: lola_rms 0.92 m. These are relative residuals, not ground-truth errors.
id,tmc_scan,tmc_pixel,grid_src_x,grid_src_y,grid_ref_x,grid_ref_y,map_x,map_y,lon,lat,nac_col,nac_row,ncc_peak,ncc_second,fit_residual_px,is_inlier,spatial_fold,heldout_residual_px
115,245711.162,578.640,848,320,950.3352,1119.0095,-2837194.418,-1544225.055,31.32426023,-50.92527815,2242.291,3444.027,0.7555,0.5431,0.2982,1,0,0.5051
116,245710.330,530.662,896,320,1000.6025,1119.0980,-2836957.156,-1544225.473,31.33669332,-50.92529193,2360.922,3444.236,0.7759,0.5886,0.1559,1,0,0.5406
117,245709.492,482.681,944,320,1050.3928,1118.9779,-2836722.146,-1544224.906,31.34900840,-50.92527323,2478.427,3443.953,0.7103,0.5957,0.1921,1,0,0.1772
118,245708.644,434.706,992,320,1100.2774,1118.7381,-2836486.691,-1544223.774,31.36134682,-50.92523590,2596.155,3443.387,0.7236,0.5705,0.4018,1,0,0.1470
119,245707.792,386.729,1040,320,1150.2736,1118.6777,-2836250.709,-1544223.489,31.37371284,-50.92522650,2714.146,3443.244,0.5645,0.3763,0.4055,1,0,0.1777
120,245706.930,338.757,1088,320,1200.6743,1118.8432,-2836012.817,-1544224.270,31.38617893,-50.92525226,2833.091,3443.635,0.6565,0.4398,0.1306,1,0,0.2825
121,245675.591,1155.364,272,368,349.0031,1168.3771,-2840032.705,-1544458.070,31.17552723,-50.93296250,823.147,3560.535,0.6291,0.2802,1.4872,1,0,3.3837
122,245674.846,1107.383,320,368,399.0150,1168.2750,-2839796.649,-1544457.588,31.18789712,-50.93294660,941.175,3560.294,0.6464,0.3219,1.1394,1,0,2.8810
123,245674.087,1059.399,368,368,449.3856,1168.0475,-2839558.900,-1544456.514,31.20035574,-50.93291119,1060.050,3559.757,0.6656,0.2387,1.1890,1,0,2.7703
124,245673.326,1011.418,416,368,499.1481,1168.0077,-2839324.021,-1544456.327,31.21266397,-50.93290500,1177.490,3559.663,0.6224,0.1409,0.6398,1,0,2.0744
125,245672.554,963.438,464,368,549.2521,1167.9890,-2839087.530,-1544456.238,31.22505665,-50.93290208,1295.735,3559.619,0.6682,0.2327,0.4400,1,0,1.7475
126,245671.779,915.458,512,368,598.7087,1168.0144,-2838854.095,-1544456.358,31.23728921,-50.93290604,1412.452,3559.679,0.7007,0.3998,0.3870,1,0,0.8065
127,245670.993,867.480,560,368,649.1615,1167.9170,-2838615.958,-1544455.898,31.24976816,-50.93289088,1531.521,3559.449,0.6338,0.4095,0.1822,1,0,0.8880
128,245670.202,819.502,608,368,699.3822,1167.7667,-2838378.916,-1544455.189,31.26218972,-50.93286748,1650.042,3559.094,0.6079,0.2784,0.1951,1,0,0.7647
129,245669.402,771.528,656,368,750.0032,1167.8827,-2838139.985,-1544455.736,31.27471028,-50.93288554,1769.508,3559.368,0.6519,0.4062,0.2794,1,0,1.0950
